43591;# doc = C:\Users\Александр\Desktop\Olesar\LiveCorpus\Опоздавшие(1)\family.2.txt;;;;;;;;;;;;;;;;;
43592;"<speech role=""Н@"" />";;;;;;;;;;;;;;;;;
43627;;уже;УЖЕ;ADV;-;;;бабушка ваша - уже в четыре -;е;ж;у;;;;Е;УЖЕ;ADV;-
43628;;в;В;PR;PR;;;ваша - уже в четыре - в;в;;;;;;В;В;PR;PR
43629;;четыре;ЧЕТЫРЕ;NUM;nom - -;;;#ИМЯ?;е;р;ы;т;е;ч;Е;ЧЕТЫРЕ;NUM;nom - -
43630;;-;-;PUNCT;;;;;-;;;;;;-;-;-;-
43631;;в;В;PR;PR;;;в четыре - в пять часов .;в;;;;;;В;В;PR;PR
43632;;пять;ПЯТЬ;NUM;acc - -;;;четыре - в пять часов . ;ь;т;я;п;;;Ь;ПЯТЬ;NUM;acc - -
43633;;часов;ЧАС;S;m inan gen pl;;;- в пять часов .  А;в;о;с;а;ч;;С;ЧАС;S;m inan gen pl
43634;;.;.;PUNCT;SENT;;;в пять часов .  А в;.;;;;;;.;.;SENT;SENT
43635;;;;;;;;;;;;;;;;;;
43636;;А;А;CONJ;CONJ;;;часов .  А в десять она;А;;;;;;А;А;CONJ;CONJ
43637;;в;В;PR;PR;;;.  А в десять она должна;в;;;;;;В;В;PR;PR
43638;;десять;ДЕСЯТЬ;NUM;acc - -;;; А в десять она должна спать;ь;т;я;с;е;д;Ь;ДЕСЯТЬ;NUM;acc - -
43639;;она;ОНА;SPRO;sg 3p f nom;;;А в десять она должна спать ,;а;н;о;;;;А;ОНА;SPRO;sg 3p f nom
43640;;должна;ДОЛЖНЫЙ;A;- - sg brev f -;;;в десять она должна спать , она;а;н;ж;л;о;д;Й;ДОЛЖНЫЙ;A;- - sg brev f -
43641;;спать;СПАТЬ;V;ipf - - inf - -;;;десять она должна спать , она и;ь;т;а;п;с;;Ь;СПАТЬ;V;ipf - - inf - -
43642;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
43643;;она;ОНА;SPRO;sg 3p f nom;;;должна спать , она и в девять;а;н;о;;;;А;ОНА;SPRO;sg 3p f nom
43644;;и;И;CONJ;CONJ;;;спать , она и в девять бы;и;;;;;;И;И;CONJ;CONJ
43645;;в;В;PR;PR;;;, она и в девять бы ложилась;в;;;;;;В;В;PR;PR
43646;;девять;ДЕВЯТЬ;NUM;acc - -;;;она и в девять бы ложилась ,;ь;т;я;в;е;д;Ь;ДЕВЯТЬ;NUM;acc - -
43647;;бы;БЫ;PART;PART;;;и в девять бы ложилась , если;ы;б;;;;;Ы;БЫ;PART;PART
43648;;ложилась;ЛОЖИТЬСЯ;V;ipf praet sg indic f -;;;в девять бы ложилась , если б;ь;с;а;л;и;ж;Я;ЛОЖИТЬСЯ;V;ipf praet sg indic f -
43649;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
43650;;если;ЕСЛИ;CONJ;CONJ;;;бы ложилась , если б это. ;и;л;с;е;;;И;ЕСЛИ;CONJ;CONJ
43651;;б;Б;PART;PART;;;ложилась , если б это.  ;б;;;;;;Б;Б;PART;PART
43652;;это;ЭТО;S;n inan nom sg;;;, если б это.   Серьезно;.;о;т;э;;;О;ЭТО.;S;n inan acc sg
43653;;;;;;;;;;;;;;;;;;
43654;"<speech role=""Е@"" />";;;;;;;;;;;;;;;;;
43655;;Серьезно;СЕРЬЕЗНО;ADV;-;;;это.   Серьезно ? Да ,;о;н;з;е;ь;р;О;СЕРЬЕЗНО;ADV;-
43656;;?;?;PUNCT;;;;;?;;;;;;?;?;?;
43657;;;;;;;;;;;;;;;;;;
43658;"<speech role=""Н@"" />";;;;;;;;;;;;;;;;;
43659;;Да;ДА;PART;PART;;; Серьезно ? Да , а утром;а;Д;;;;;А;ДА;PART;PART
43660;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
43661;;а;А;CONJ;CONJ;;;? Да , а утром спозаранку встаёт.;а;;;;;;А;А;CONJ;CONJ
43662;;утром;УТРО;S;n inan ins sg;;;Да , а утром спозаранку встаёт. ;м;о;р;т;у;;О;УТРО;S;n inan ins sg
43663;;спозаранку;СПОЗАРАНКУ;ADV;-;;;, а утром спозаранку встаёт.  ;у;к;н;а;р;а;У;СПОЗАРАНКУ;ADV;-
43664;;встаёт;ВСТАВАТЬ;V;ipf praes sg indic - 3p;;;а утром спозаранку встаёт.   Она;.;т;ё;а;т;с;Ь;ВСТАВАТЬ.;V;ipf praes sg indic - 3p
43665;;;;;;;;;;;;;;;;;;
43666;"<speech role=""Е@"" />";;;;;;;;;;;;;;;;;
43667;;Она;ОНА;SPRO;sg 3p f nom;;;встаёт.   Она в пять встаёт;а;н;О;;;;А;ОНА;SPRO;sg 3p f nom
43668;;в;В;PR;PR;;;  Она в пять встаёт ?;в;;;;;;В;В;PR;PR
43669;;пять;ПЯТЬ;NUM;acc - -;;; Она в пять встаёт ? Да;ь;т;я;п;;;Ь;ПЯТЬ;NUM;acc - -
43670;;встаёт;ВСТАВАТЬ;V;ipf praes sg indic - 3p;;;Она в пять встаёт ? Да ,;т;ё;а;т;с;в;Ь;ВСТАВАТЬ;V;ipf praes sg indic - 3p
43671;;?;?;PUNCT;;;;;?;;;;;;?;?;?;
43672;;;;;;;;;;;;;;;;;;
43673;"<speech role=""Н@"" />";;;;;;;;;;;;;;;;;
43674;;Да;ДА;CONJ;CONJ;;;пять встаёт ? Да , и в;а;Д;;;;;А;ДА;CONJ;CONJ
43675;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
43676;;и;И;CONJ;CONJ;;;? Да , и в пять ,;и;;;;;;И;И;CONJ;CONJ
43677;;в;В;PR;PR;;;Да , и в пять , и;в;;;;;;В;В;PR;PR
43678;;пять;ПЯТЬ;NUM;acc - -;;;, и в пять , и в;ь;т;я;п;;;Ь;ПЯТЬ;NUM;acc - -
43679;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
43680;;и;И;CONJ;CONJ;;;в пять , и в ш …;и;;;;;;И;И;CONJ;CONJ
43681;;в;В;S;#ИМЯ?;;;пять , и в ш … и;в;;;;;;В;В;S;#ИМЯ?
43682;;ш;Ш;S;n inan nonflex nonflex;;;, и в ш … и в;ш;;;;;;Ш;Ш;S;n inan nonflex nonflex
43683;;…;…;PUNCT;;;;;…;;;;;;…;…;…;…
43684;;и;И;CONJ;CONJ;;;в ш … и в шесть ,;и;;;;;;И;И;CONJ;CONJ
43685;;в;В;PR;PR;;;ш … и в шесть , но;в;;;;;;В;В;PR;PR
43686;;шесть;ШЕСТЬ;NUM;acc - -;;;… и в шесть , но в;ь;т;с;е;ш;;Ь;ШЕСТЬ;NUM;acc - -
43687;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
43688;;но;НО;CONJ;CONJ;;;в шесть , но в основном в;о;н;;;;;О;НО;CONJ;CONJ
43689;;в;В;PR;PR;;;шесть , но в основном в пять;в;;;;;;В;В;PR;PR
43690;;основном;ОСНОВНОЕ;S;inan n sg loc;;;, но в основном в пять -;м;о;н;в;о;н;Й;ОСНОВНОЙ;A;- loc sg plen m -
43691;;в;В;PR;PR;;;но в основном в пять - она;в;;;;;;В;В;PR;PR
43692;;пять;ПЯТЬ;NUM;acc - -;;;в основном в пять - она вот;ь;т;я;п;;;Ь;ПЯТЬ;NUM;acc - -
43693;;-;-;PUNCT;;;;;-;;;;;;-;-;-;-
43694;;она;ОНА;SPRO;sg 3p f nom;;;в пять - она вот у вас;а;н;о;;;;А;ОНА;SPRO;sg 3p f nom
43695;;вот;ВОТ;PART;PART;;;пять - она вот у вас жила;т;о;в;;;;Т;ВОТ;PART;PART
43696;;у;У;PR;PR;;;- она вот у вас жила ,;у;;;;;;У;У;PR;PR
43697;;вас;ВЫ;SPRO;pl 2p - gen;;;она вот у вас жила , так;с;а;в;;;;Ы;ВЫ;SPRO;pl 2p - loc
43698;;жила;ЖИТЬ;V;ipf praet sg indic f -;;;вот у вас жила , так ,;а;л;и;ж;;;Ь;ЖИТЬ;V;ipf praet sg indic f -
43699;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
43700;;так;ТАК;ADV;-;;;вас жила , так , по-моему ;к;а;т;;;;К;ТАК;ADV;-
43701;"<distinct form=""по-мому"">";;;;;;;;;;;;;;;;;
43702;;,;,;PUNCT;;;;;,;;;;;;,;,;,;
43703;;по-моему;ПО-МОЕМУ;ADV;-;;;, так , по-моему  , вообще;у;м;е;о;м;-;У;ПО-МОЕМУ;ADV;-
43704;</distinct>;;;;;;;;;;;;;;;;;
43705;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
43706;;вообще;ВООБЩЕ;ADV;-;;;по-моему  , вообще в четыре вставала.;е;щ;б;о;о;в;Е;ВООБЩЕ;ADV;-
43707;;в;В;PR;PR;;; , вообще в четыре вставала. ;в;;;;;;В;В;PR;PR
43708;;четыре;ЧЕТЫРЕ;NUM;nom - -;;;, вообще в четыре вставала.  ;е;р;ы;т;е;ч;Е;ЧЕТЫРЕ;NUM;nom - -
43709;;вставала;ВСТАВАТЬ;V;ipf praet sg indic f -;;;вообще в четыре вставала.   Я;.;а;л;а;в;а;Ь;ВСТАВАТЬ.;V;ipf praet sg indic f -
43710;;;;;;;;;;;;;;;;;;
43711;"<speech role=""Е@"" />";;;;;;;;;;;;;;;;;
43712;;Я;Я;SPRO;sg 1p - nom;;;вставала.   Я , честно говоря;Я;;;;;;Я;Я;SPRO;sg 1p - nom
43713;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
43714;;честно;ЧЕСТНО;ADV;-;;; Я , честно говоря , этого;о;н;т;с;е;ч;О;ЧЕСТНО;ADV;-
43715;;говоря;ГОВОРИТЬ;V;ipf praes - ger - -;;;Я , честно говоря , этого не;я;р;о;в;о;г;Ь;ГОВОРИТЬ;V;ipf praes - ger - -
43716;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
43717;;этого;ЭТО;S;n - gen sg;;;честно говоря , этого не знал .;о;г;о;т;э;;О;ЭТО;S;n - gen sg
43718;;не;НЕ;PART;PART;;;говоря , этого не знал . ;е;н;;;;;Е;НЕ;PART;PART
43719;;знал;ЗНАТЬ;V;ipf praet sg indic m -;;;, этого не знал .  Я;л;а;н;з;;;Ь;ЗНАТЬ;V;ipf praet sg indic m -
43720;;.;.;PUNCT;SENT;;;этого не знал .  Я помню;.;;;;;;.;.;SENT;SENT
43721;;;;;;;;;;;;;;;;;;
43722;;Я;Я;SPRO;sg 1p - nom;;;знал .  Я помню , что;Я;;;;;;Я;Я;SPRO;sg 1p - nom
43723;;помню;ПОМНИТЬ;V;ipf praes sg indic - 1p;;;.  Я помню , что она;ю;н;м;о;п;;Ь;ПОМНИТЬ;V;ipf praes sg indic - 1p
43724;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
43725;;что;ЧТО;CONJ;CONJ;;;Я помню , что она вставала в;о;т;ч;;;;О;ЧТО;CONJ;CONJ
43726;;она;ОНА;SPRO;sg 3p f nom;;;помню , что она вставала в Солонцовке;а;н;о;;;;А;ОНА;SPRO;sg 3p f nom
43727;;вставала;ВСТАВАТЬ;V;ipf praet sg indic f -;;;, что она вставала в Солонцовке очень;а;л;а;в;а;т;Ь;ВСТАВАТЬ;V;ipf praet sg indic f -
43728;;в;В;PR;PR;;;что она вставала в Солонцовке очень рано;в;;;;;;В;В;PR;PR
43729;;Солонцовке;СОЛОНЦОВКА;S;m inan loc sg;;;она вставала в Солонцовке очень рано ,;е;к;в;о;ц;н;А;СОЛОНЦОВКА;S;m inan loc sg
43730;;очень;ОЧЕНЬ;ADV;-;;;вставала в Солонцовке очень рано , но;ь;н;е;ч;о;;Ь;ОЧЕНЬ;ADV;-
43731;;рано;РАНО;ADV;-;;;в Солонцовке очень рано , но они;о;н;а;р;;;О;РАНО;ADV;-
43732;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
43733;;но;НО;CONJ;CONJ;;;очень рано , но они там чай;о;н;;;;;О;НО;CONJ;CONJ
43734;;они;ОНИ;SPRO;pl - - nom;;;рано , но они там чай сидели;и;н;о;;;;И;ОНИ;SPRO;pl - - nom
43735;;там;ТАМ;ADVPRO;-;;;, но они там чай сидели пили.;м;а;т;;;;М;ТАМ;ADV;-
43736;;чай;ЧАЙ;S;m inan acc sg;;;но они там чай сидели пили. ;й;а;ч;;;;Й;ЧАЙ;S;m inan acc sg
43737;;сидели;СИДЕТЬ;V;ipf praet pl indic - -;;;они там чай сидели пили.  ;и;л;е;д;и;с;Ь;СИДЕТЬ;V;ipf praet pl indic - -
43738;;пили;ПИТЬ;V;ipf praet pl indic - -;;;там чай сидели пили.   Она;.;и;л;и;п;;Ь;ПИТЬ.;V;ipf praet pl indic - -
43739;;;;;;;;;;;;;;;;;;
43740;"<speech role=""Н@"" />";;;;;;;;;;;;;;;;;
43741;;Она;ОНА;SPRO;sg 3p f nom;;;пили.   Она и сейчас тоже;а;н;О;;;;А;ОНА;SPRO;sg 3p f nom
43742;;и;И;CONJ;CONJ;;;  Она и сейчас тоже ,;и;;;;;;И;И;CONJ;CONJ
43743;;сейчас;СЕЙЧАС;ADV;-;;; Она и сейчас тоже , но;с;а;ч;й;е;с;С;СЕЙЧАС;ADV;-
43744;;тоже;ТОЖЕ;PART;PART;;;Она и сейчас тоже , но она;е;ж;о;т;;;Е;ТОЖЕ;PART;PART
43745;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
43746;;но;НО;CONJ;CONJ;;;сейчас тоже , но она вот с;о;н;;;;;О;НО;CONJ;CONJ
43747;;она;ОНА;SPRO;sg 3p f nom;;;тоже , но она вот с вечера;а;н;о;;;;А;ОНА;SPRO;sg 3p f nom
43748;;вот;ВОТ;PART;PART;;;, но она вот с вечера должна;т;о;в;;;;Т;ВОТ;PART;PART
43749;;с;С;PR;PR;;;но она вот с вечера должна рано;с;;;;;;С;С;PR;PR
43750;;вечера;ВЕЧЕР;S;m inan gen sg;;;она вот с вечера должна рано лечь;а;р;е;ч;е;в;Р;ВЕЧЕР;S;m inan gen sg
43751;;должна;ДОЛЖНЫЙ;A;- - sg brev f -;;;вот с вечера должна рано лечь .;а;н;ж;л;о;д;Й;ДОЛЖНЫЙ;A;- - sg brev f -
43752;;рано;РАНО;ADV;-;;;с вечера должна рано лечь . ;о;н;а;р;;;О;РАНО;ADV;-
43753;;лечь;ЛЕЧЬ;V;pf - - inf - -;;;вечера должна рано лечь .  Я;ь;ч;е;л;;;Ь;ЛЕЧЬ;V;pf - - inf - -
43754;;.;.;PUNCT;SENT;;;должна рано лечь .  Я ,;.;;;;;;.;.;SENT;SENT
43755;;;;;;;;;;;;;;;;;;
43756;;Я;Я;SPRO;sg 1p - nom;;;лечь .  Я , например ,;Я;;;;;;Я;Я;SPRO;sg 1p - nom
43757;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
43758;;например;НАПРИМЕР;ADV;-;;; Я , например , не могу;р;е;м;и;р;п;Р;НАПРИМЕР;ADV;-
43759;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
43760;;не;НЕ;PART;PART;;;, например , не могу с вечера;е;н;;;;;Е;НЕ;PART;PART
43761;;могу;МОЧЬ;V;ipf praes sg indic - 1p;;;например , не могу с вечера рано;у;г;о;м;;;Ь;МОЧЬ;V;ipf praes sg indic - 1p
43762;;с;С;PR;PR;;;, не могу с вечера рано лечь;с;;;;;;С;С;PR;PR
43763;;вечера;ВЕЧЕР;S;m inan gen sg;;;не могу с вечера рано лечь .;а;р;е;ч;е;в;Р;ВЕЧЕР;S;m inan gen sg
43764;;рано;РАНО;ADV;-;;;могу с вечера рано лечь . ;о;н;а;р;;;О;РАНО;ADV;-
43765;;лечь;ЛЕЧЬ;V;pf - - inf - -;;;с вечера рано лечь .  Я;ь;ч;е;л;;;Ь;ЛЕЧЬ;V;pf - - inf - -
43766;;.;.;PUNCT;SENT;;;вечера рано лечь .  Я раньше;.;;;;;;.;.;SENT;SENT
43767;;;;;;;;;;;;;;;;;;
43768;;Я;Я;SPRO;sg 1p - nom;;;лечь .  Я раньше двенадцати …;Я;;;;;;Я;Я;SPRO;sg 1p - nom
43769;;раньше;РАНО;ADV;comp;;;.  Я раньше двенадцати … Сова.;е;ш;ь;н;а;р;О;РАНО;ADV;comp
43770;;двенадцати;ДВЕНАДЦАТЬ;NUM;gen - -;;; Я раньше двенадцати … Сова. ;и;т;а;ц;д;а;Ь;ДВЕНАДЦАТЬ;NUM;loc - -
43771;;…;…;PUNCT;;;;;…;;;;;;…;…;…;
43772;;;;;;;;;;;;;;;;;;
43773;"<speech role=""Е@"" />";;;;;;;;;;;;;;;;;
43774;;Сова;СОВА;S;f anim nom sg;;;раньше двенадцати … Сова.   В;.;а;в;о;С;;А;СОВА.;S;f anim nom sg
43775;;;;;;;;;;;;;;;;;;
43776;"<speech role=""Н@"" />";;;;;;;;;;;;;;;;;
43777;;В;В;PR;PR;;;Сова.   В одиннадцать - двенадцать;В;;;;;;В;В;S;#ИМЯ?
43778;;одиннадцать;ОДИННАДЦАТЬ;NUM;acc - -;;;  В одиннадцать - двенадцать вообще;ь;т;а;ц;д;а;Ь;ОДИННАДЦАТЬ;NUM;acc - -
43779;;-;-;PUNCT;;;;;-;;;;;;-;-;-;-
43780;;двенадцать;ДВЕНАДЦАТЬ;NUM;acc - -;;;В одиннадцать - двенадцать вообще даже не;ь;т;а;ц;д;а;Ь;ДВЕНАДЦАТЬ;NUM;acc - -
43781;;вообще;ВООБЩЕ;ADV;-;;;одиннадцать - двенадцать вообще даже не могу;е;щ;б;о;о;в;Е;ВООБЩЕ;ADV;-
43782;;даже;ДАЖЕ;PART;PART;;;- двенадцать вообще даже не могу ,;е;ж;а;д;;;Е;ДАЖЕ;PART;PART
43783;;не;НЕ;PART;PART;;;двенадцать вообще даже не могу , потому что;е;н;;;;;Е;НЕ;PART;PART
43784;;могу;МОЧЬ;V;ipf praes sg indic - 1p;;;вообще даже не могу , потому что если;у;г;о;м;;;Ь;МОЧЬ;V;ipf praes sg indic - 1p
43785;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
43786;;потому что;потому что;CONJ;CONJ;;;не могу , потому что если я лягу;о;т;ч;;у;м;о;потому что;CONJ;CONJ
43787;;если;ЕСЛИ;CONJ;CONJ;;;могу , потому что если я лягу в;и;л;с;е;;;И;ЕСЛИ;CONJ;CONJ
43788;;я;Я;SPRO;sg 1p - nom;;;, потому что если я лягу в десять;я;;;;;;Я;Я;SPRO;sg 1p - nom
43789;;лягу;ЛЕЧЬ;V;pf fut sg indic - 1p;;;потому что если я лягу в десять ,;у;г;я;л;;;Ь;ЛЕЧЬ;V;pf fut sg indic - 1p
43790;;в;В;PR;PR;;;если я лягу в десять , я;в;;;;;;В;В;PR;PR
43791;;десять;ДЕСЯТЬ;NUM;acc - -;;;я лягу в десять , я уже;ь;т;я;с;е;д;Ь;ДЕСЯТЬ;NUM;acc - -
43792;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
43793;;я;Я;SPRO;sg 1p - nom;;;в десять , я уже в одиннадцать;я;;;;;;Я;Я;SPRO;sg 1p - nom
43794;;уже;УЖЕ;ADV;-;;;десять , я уже в одиннадцать -;е;ж;у;;;;Е;УЖЕ;ADV;-
43795;;в;В;PR;PR;;;, я уже в одиннадцать - полдвенадцатого;в;;;;;;В;В;PR;PR
43796;;одиннадцать;ОДИННАДЦАТЬ;NUM;acc - -;;;я уже в одиннадцать - полдвенадцатого проснусь;ь;т;а;ц;д;а;Ь;ОДИННАДЦАТЬ;NUM;acc - -
43797;;-;-;PUNCT;;;;;-;;;;;;-;-;-;-
43798;;полдвенадцатого;ПОЛДВЕНАДЦАТОГО;S;n inan nonflex nonflex;;;в одиннадцать - полдвенадцатого проснусь и вообще;о;г;о;т;а;ц;О;ПОЛДВЕНАДЦАТОГО;S;n inan nonflex nonflex
43799;;проснусь;ПРОСНУТЬСЯ;V;pf fut sg indic - 1p;;;одиннадцать - полдвенадцатого проснусь и вообще всю;ь;с;у;н;с;о;Я;ПРОСНУТЬСЯ;V;pf fut sg indic - 1p
43800;;и;И;CONJ;CONJ;;;#ИМЯ?;и;;;;;;И;И;CONJ;CONJ
43801;;вообще;ВООБЩЕ;ADV;-;;;полдвенадцатого проснусь и вообще всю ночь спать;е;щ;б;о;о;в;Е;ВООБЩЕ;ADV;-
43802;;всю;ВЕСЬ;A;- acc sg plen f -;;;проснусь и вообще всю ночь спать не;ю;с;в;;;;Ь;ВЕСЬ;A;- acc sg plen f -
43803;;ночь;НОЧЬ;S;f inan acc sg;;;и вообще всю ночь спать не буду;ь;ч;о;н;;;Ь;НОЧЬ;S;f inan acc sg
43804;;спать;СПАТЬ;V;ipf - - inf - -;;;вообще всю ночь спать не буду ,;ь;т;а;п;с;;Ь;СПАТЬ;V;ipf - - inf - -
43805;;не;НЕ;PART;PART;;;всю ночь спать не буду , поэтому;е;н;;;;;Е;НЕ;PART;PART
43806;;буду;БЫТЬ;V;ipf praes sg indic - 1p;;;ночь спать не буду , поэтому я;у;д;у;б;;;Ь;БЫТЬ;V;ipf praes sg indic - 1p
43807;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
43808;;поэтому;ПОЭТОМУ;ADVPRO;-;;;не буду , поэтому я стараюсь ложиться;у;м;о;т;э;о;У;ПОЭТОМУ;ADV;-
43809;;я;Я;SPRO;sg 1p - nom;;;буду , поэтому я стараюсь ложиться где-то;я;;;;;;Я;Я;SPRO;sg 1p - nom
43810;;стараюсь;СТАРАТЬСЯ;V;ipf praes sg indic - 1p;;;, поэтому я стараюсь ложиться где-то в;ь;с;ю;а;р;а;Я;СТАРАТЬСЯ;V;ipf praes sg indic - 1p
43811;;ложиться;ЛОЖИТЬСЯ;V;ipf - - inf - -;;;поэтому я стараюсь ложиться где-то в двенадцать;я;с;ь;т;и;ж;Я;ЛОЖИТЬСЯ;V;ipf - - inf - -
43812;;где-то;ГДЕ-ТО;ADVPRO;-;;;я стараюсь ложиться где-то в двенадцать ,;о;т;-;е;д;г;О;ГДЕ-ТО;ADV;-
43813;;в;В;PR;PR;;;стараюсь ложиться где-то в двенадцать , чтобы;в;;;;;;В;В;PR;PR
43814;;двенадцать;ДВЕНАДЦАТЬ;NUM;acc - -;;;ложиться где-то в двенадцать , чтобы хотя бы;ь;т;а;ц;д;а;Ь;ДВЕНАДЦАТЬ;NUM;acc - -
43815;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
43816;;чтобы;ЧТОБЫ;CONJ;CONJ;;;в двенадцать , чтобы хотя бы это самое;ы;б;о;т;ч;;Ы;ЧТОБЫ;CONJ;CONJ
43817;;хотя бы;хотя бы;ADV;-;;;двенадцать , чтобы хотя бы это самое .;ы;б;;я;т;о;ы;хотя бы;ADV;-
43818;;это;ЭТО;S;n - nom sg;;;, чтобы хотя бы это самое . ;о;т;э;;;;О;ЭТО;S;n - nom sg
43819;;самое;САМЫЙ;A;- nom sg plen n -;;;чтобы хотя бы это самое .  Ну;е;о;м;а;с;;Й;САМЫЙ;A;- nom sg plen n -
43820;;.;.;PUNCT;SENT;;;хотя бы это самое .  Ну ,;.;;;;;;.;.;SENT;SENT
43821;;;;;;;;;;;;;;;;;;
43822;;Ну;НУ;PART;PART;;;самое .  Ну , и тоже;у;Н;;;;;У;НУ;PART;PART
43823;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
43824;;и;И;CONJ;CONJ;;; Ну , и тоже бывает ,;и;;;;;;И;И;CONJ;CONJ
43825;;тоже;ТОЖЕ;PART;PART;;;Ну , и тоже бывает , я;е;ж;о;т;;;Е;ТОЖЕ;PART;PART
43826;;бывает;БЫВАТЬ;V;ipf praes sg indic - 3p;;;, и тоже бывает , я иногда;т;е;а;в;ы;б;Ь;БЫВАТЬ;V;ipf praes sg indic - 3p
43827;;,;,;PUNCT;;;;;,;;;;;;,;,;,;,
